transaction_id,transaction_date,channel,quantity,unit_price,discount_pct,promo_flag,payment_method,days_since_last_purchase,prior_purchases,total_amount,repeat_purchase_next_month,age,gender,city,membership_level,customer_tenure_months,loyalty_score,estimated_income,category,brand,supplier_region,base_price
69,2025-01-08,Web,4,770.73,0.06,0,Debit Card,39,9,2898.79,0,40.0,M,Medellín,Platinum,3,54.08,3065.58,Electronics,Viva,Imported,675.98
70,2025-03-25,App,5,136.58,0.093,0,Transfer,23,6,668.7,0,39.0,M,Barranquilla,Platinum,12,21.7,1393.77,Home,Lumen,Imported,120.93
71,2025-04-23,App,1,58.59,0.178,1,Transfer,15,11,61.77,1,23.0,F,Bogota,Basic,25,50.54,3144.1,Fashion,Orion,North,53.84
72,2025-10-28,Store,6,14.39,0.222,0,Transfer,46,11,282.54,0,23.0,M,Bogota,Platinum,27,58.56,3883.46,Beauty,Atlas,West,67.07
73,2025-06-04,Store,3,69.41,0.026,0,Digital Wallet,39,11,231.88,0,35.0,M,Medellín,Gold,32,40.34,1090.54,Fashion,Aurum,East,74.81
74,2025-06-24,Store,6,36.47,0.053,1,Transfer,45,8,262.75,0,44.0,M,Bogota,Basic,14,36.28,5718.24,Beauty,Orion,South,41.53
75,2025-06-15,Store,1,219.52,0.198,0,Debit Card,48,9,218.81,0,55.0,F,Bogota,Platinum,26,62.83,5393.69,Sports,Nova,Imported,186.88
76,2025-06-18,Store,4,14.39,0.156,0,Debit Card,54,6,247.45,0,53.0,F,Bogota,Basic,53,53.98,4434.56,Fashion,Aurum,East,74.81
77,2025-03-27,App,2,27.56,0.046,0,Digital Wallet,48,5,52.59,0,39.0,M,Barranquilla,Platinum,12,21.7,1393.77,Sports,Pulse,South,25.42
78,2025-12-27,App,4,232.96,0.131,0,Digital Wallet,37,3,915.22,0,38.0,M,Cali,Platinum,23,66.66,2389.3,Sports,Pulse,Imported,257.21
79,2025-11-12,Store,5,241.16,0.042,1,Digital Wallet,52,10,1196.08,0,18.0,F,Bogota,Platinum,28,40.34,6960.76,Sports,Pulse,Imported,257.21
80,2025-08-05,Store,3,304.95,0.142,1,Transfer,1,7,868.75,0,44.0,M,Bogota,Basic,14,36.28,5718.24,Electronics,Aurum,South,331.95
81,2025-09-27,Web,6,194.91,0.021,0,Transfer,44,9,1218.8,0,70.0,F,Cali,Gold,26,46.58,4528.39,Sports,Nova,Imported,186.88
82,2025-08-27,Store,2,52.2,0.058,0,Digital Wallet,53,12,106.07,1,55.0,M,Bogota,Platinum,23,68.44,2937.39,Fashion,Aurum,Local,45.86
83,2025-01-29,Store,4,42.34,0.093,0,Transfer,67,9,156.08,0,51.0,M,Bogota,Platinum,37,51.67,3698.78,Beauty,Orion,South,41.53
84,2025-12-09,App,2,757.65,0.0,0,Transfer,33,8,1432.1,0,50.0,F,Cali,Gold,20,43.0,4687.99,Electronics,Viva,Imported,675.98
85,2025-12-18,Store,5,85.64,0.045,0,Transfer,36,10,371.94,0,39.0,M,Cali,Platinum,14,59.88,4158.87,Fashion,Pulse,Imported,78.08
86,2025-03-30,Store,7,119.72,0.096,0,Cash,53,7,987.79,0,26.0,F,Bogota,Gold,38,46.13,3100.78,Sports,Aurum,Local,139.49
87,2025-04-21,Store,1,73.27,0.075,1,Digital Wallet,28,16,77.36,1,36.0,F,Cali,Basic,46,40.64,3630.56,Fashion,Pulse,Imported,78.08
88,2025-10-29,Store,7,12.5,0.0,0,Debit Card,46,7,51.6,1,40.0,F,Bogota,Platinum,11,64.87,1545.15,Groceries,Nova,Imported,11.2
89,2025-01-10,Store,2,68.17,0.115,0,Transfer,29,7,105.87,0,34.0,M,Bogota,Platinum,5,69.04,4556.09,Beauty,Lumen,Imported,60.73
90,2025-10-28,Store,3,33.68,0.13,0,Credit Card,14,10,93.26,0,35.0,F,Cali,Platinum,17,63.1,2833.98,Beauty,Orion,North,29.89
91,2025-02-16,Store,7,532.51,0.104,1,Debit Card,41,9,4931.03,0,34.0,M,Bogota,Platinum,1,40.34,3914.12,Electronics,Nova,Local,487.12
92,2025-06-01,App,7,63.2,0.0,0,Transfer,47,12,462.53,0,31.0,F,Cali,Basic,18,100.0,1793.26,Beauty,Zenit,South,70.66
93,2025-03-23,Store,3,12.16,0.169,1,Transfer,39,12,47.87,1,41.0,F,Bogota,Platinum,38,50.88,5256.05,Groceries,Nova,Imported,11.2
94,2025-12-10,Store,5,14.39,0.112,0,Digital Wallet,38,5,742.3,0,50.0,M,Bogota,Platinum,26,40.52,3980.96,Sports,Lumen,East,185.09
95,2025-12-11,Store,4,267.22,0.0,0,Digital Wallet,51,14,893.24,0,18.0,M,Bogota,Platinum,23,59.93,5770.02,Electronics,Orion,West,301.95
96,2025-08-13,Store,5,171.8,0.04,0,Digital Wallet,27,10,774.3,0,23.0,F,Bogota,Basic,25,50.54,3144.1,Home,Aurum,North,170.76
97,2025-03-22,Store,6,73.8,0.155,0,Transfer,29,7,491.59,0,54.0,M,Cali,Platinum,31,24.76,3570.9,Beauty,Atlas,West,67.07
98,2025-03-20,Store,3,98.74,0.113,0,Digital Wallet,61,15,282.51,0,55.0,M,Bogota,Platinum,17,52.99,2838.76,Sports,Pulse,North,98.25
99,2025-01-13,Store,2,84.99,0.241,0,Digital Wallet,29,7,131.4,0,27.0,M,Cali,Platinum,6,65.18,700.0,Electronics,Zenit,Imported,89.44
100,2025-06-21,App,2,699.99,0.101,0,Transfer,53,2,1596.73,0,64.0,F,Barranquilla,Platinum,13,72.32,1875.36,Electronics,Viva,Imported,675.98
101,2025-08-28,Store,2,224.45,0.108,0,Digital Wallet,14,11,370.26,0,37.0,M,Medellín,Basic,38,72.38,5387.51,Sports,Aurum,North,237.56
102,2025-02-24,App,6,14.39,0.057,0,Transfer,22,9,279.79,0,18.0,M,Bogota,Gold,37,40.34,3468.49,Beauty,Aurum,Local,43.26
103,2025-06-01,Store,7,233.53,0.0,0,Digital Wallet,13,12,2081.57,0,39.0,M,Barranquilla,Platinum,12,21.7,1393.77,Home,Orion,Imported,215.1
104,2025-11-14,Store,6,430.36,0.097,0,Digital Wallet,61,9,2101.34,0,29.0,M,Barranquilla,Basic,9,33.73,5372.27,Electronics,Nova,Local,487.12
105,2025-04-05,Store,2,208.57,0.082,0,Digital Wallet,43,9,513.11,0,29.0,F,Bogota,Gold,22,68.56,5010.38,Home,Orion,Imported,215.1
106,2025-06-07,Store,4,13.98,0.0,0,Digital Wallet,50,15,78.45,0,33.0,M,Bogota,Platinum,1,8.83,4369.06,Beauty,Viva,Imported,15.63
107,2025-02-22,Store,2,184.7,0.089,0,Transfer,16,8,435.27,0,18.0,F,Cali,Basic,21,48.6,3392.19,Sports,Nova,Local,167.26
108,2025-10-25,Store,6,14.39,0.19,0,Digital Wallet,15,15,938.89,0,18.0,M,Bogota,Platinum,12,26.15,4651.97,Sports,Lumen,East,185.09
109,2025-12-12,Store,1,62.5,0.149,0,Digital Wallet,35,3,52.09,0,22.0,M,Bogota,Platinum,30,49.76,2664.31,Beauty,Zenit,Imported,57.14
110,2025-04-25,Store,5,66.2,0.033,1,Digital Wallet,79,9,397.44,0,18.0,F,Cali,Basic,21,48.6,3392.19,Beauty,Lumen,Imported,60.73
111,2025-03-23,App,5,267.35,0.161,0,Transfer,65,6,1487.9,0,19.0,M,Cali,Platinum,1,92.21,2592.23,Sports,Aurum,North,237.56
112,2025-12-13,Store,2,41.05,0.054,0,Digital Wallet,14,12,79.67,0,58.0,F,Bogota,Platinum,59,60.24,4921.65,Beauty,Aurum,North,42.31
113,2025-09-25,Store,3,27.06,0.252,1,Debit Card,38,15,62.65,1,37.0,M,Medellín,Platinum,32,57.86,4832.17,Beauty,Orion,West,27.31
114,2025-10-29,Store,1,332.24,0.038,1,Transfer,14,19,319.54,0,50.0,F,Cali,Gold,20,43.0,4687.99,Electronics,Orion,West,301.95
115,2025-07-28,Store,1,98.3,0.14,0,Transfer,9,12,82.7,0,29.0,M,Bogota,Basic,26,40.84,2779.11,Electronics,Zenit,Imported,89.44
116,2025-10-29,Store,6,74.43,0.013,0,Digital Wallet,11,13,395.16,0,53.0,F,Bogota,Platinum,22,26.76,4241.61,Beauty,Orion,East,75.76
117,2025-02-14,Store,5,197.91,0.0,0,Transfer,15,8,1047.33,0,23.0,F,Barranquilla,Gold,38,40.34,2937.12,Sports,Zenit,West,188.22
118,2025-01-28,Store,1,255.93,0.022,0,Digital Wallet,86,11,239.59,0,39.0,M,Cali,Platinum,14,59.88,4158.87,Sports,Zenit,East,249.78
119,2025-04-05,Web,2,256.71,0.044,0,Debit Card,79,13,643.14,0,34.0,M,Cali,Platinum,21,17.92,5046.07,Sports,Nova,West,247.17
120,2025-04-22,Web,2,19.47,0.0,0,Cash,42,8,40.08,0,34.0,M,Bogota,Platinum,25,55.3,4310.15,Groceries,Viva,East,19.8
121,2025-09-26,Store,4,255.02,0.001,1,Digital Wallet,37,11,1051.83,0,40.0,M,Cali,Basic,27,40.48,4101.04,Sports,Lumen,South,240.15
122,2025-01-14,Store,3,14.39,0.104,0,Cash,57,7,477.26,0,20.0,M,Bogota,Platinum,42,47.39,2975.38,Sports,Zenit,Imported,176.27
123,2025-01-30,Store,3,46.27,0.0,0,Debit Card,74,5,106.28,1,38.0,M,Bogota,Platinum,24,62.88,3350.51,Beauty,Aurum,Local,43.26
124,2025-12-29,Store,4,99.81,0.133,1,Transfer,83,4,391.13,1,31.0,F,Cali,Basic,18,100.0,1793.26,Electronics,Zenit,Imported,89.44
125,2025-01-03,Store,7,146.84,0.0,0,Digital Wallet,42,6,968.46,0,19.0,M,Bogota,Gold,46,41.86,700.0,Sports,Aurum,North,139.36
126,2025-02-21,Store,7,14.39,0.0,0,Transfer,43,8,615.82,0,29.0,F,Bogota,Gold,22,68.56,5010.38,Sports,Zenit,West,77.47
127,2025-12-29,Web,2,125.46,0.067,0,Credit Card,19,12,218.63,0,54.0,M,Cali,Platinum,31,24.76,3570.9,Fashion,Pulse,West,117.46
128,2025-11-27,App,5,10.88,0.085,1,Debit Card,45,10,47.27,0,30.0,M,Bogota,Platinum,17,48.27,3941.9,Groceries,Nova,Imported,11.2
129,2025-02-20,App,11,72.48,0.059,1,Debit Card,54,8,946.34,0,38.0,M,Bogota,Platinum,59,49.6,1765.07,Beauty,Viva,East,66.68
130,2025-05-02,Store,6,74.4,0.192,0,Transfer,21,10,387.23,0,69.0,F,Bogota,Platinum,17,50.67,3016.45,Beauty,Orion,East,75.76
131,2025-05-22,Store,1,156.27,0.055,0,Transfer,24,10,164.92,0,58.0,F,Barranquilla,Gold,6,86.01,2561.54,Electronics,Viva,West,165.05
132,2025-01-16,Store,4,81.14,0.143,1,Digital Wallet,21,11,313.79,0,52.0,F,Bogota,Silver,6,47.31,826.6,Beauty,Orion,East,75.76
133,2025-01-12,Store,1,14.39,0.136,0,Transfer,54,9,821.31,0,39.0,F,Bogota,Platinum,25,49.04,2340.95,Electronics,Viva,Imported,682.78
134,2025-10-21,Store,5,246.02,0.117,0,Credit Card,80,5,967.46,0,41.0,M,Medellín,Platinum,31,1.07,3582.07,Sports,Aurum,North,237.56
135,2025-07-11,Store,5,84.55,0.119,1,Debit Card,1,11,440.27,0,22.0,M,Bogota,Platinum,30,49.76,2664.31,Beauty,Orion,East,75.76
136,2025-10-15,Store,3,71.13,0.186,1,Digital Wallet,27,7,160.58,0,27.0,M,Bogota,Platinum,20,53.04,1872.99,Beauty,Orion,East,75.76
137,2025-08-15,Store,2,265.28,0.188,1,Transfer,37,5,468.78,0,38.0,M,Bogota,Platinum,59,49.6,1765.07,Sports,Zenit,East,249.78
138,2025-12-07,Web,3,158.1,0.129,0,Transfer,57,12,458.25,0,20.0,M,Bogota,Platinum,45,60.76,4261.09,Home,Aurum,North,170.76
139,2025-12-20,Web,2,159.8,0.071,0,Transfer,32,12,341.29,0,37.0,F,Bogota,Platinum,17,40.34,700.0,Sports,Aurum,North,139.36
140,2025-08-14,Store,3,135.22,0.146,0,Digital Wallet,25,11,313.15,0,37.0,M,Cali,Platinum,1,27.05,5722.05,Fashion,Viva,Imported,134.68
141,2025-11-05,Web,7,92.29,0.132,0,Digital Wallet,41,12,517.57,0,43.0,F,Barranquilla,Platinum,42,74.18,2223.96,Fashion,Nova,East,99.72
142,2025-08-13,App,2,14.39,0.189,0,Digital Wallet,21,4,234.65,0,22.0,M,Bogota,Platinum,30,49.76,2664.31,Sports,Zenit,Imported,176.27
143,2025-12-14,Store,3,715.21,0.091,0,Transfer,13,11,2198.05,0,25.0,F,Cali,Basic,37,88.49,1809.91,Electronics,Lumen,West,728.39
144,2025-03-04,Store,4,29.89,0.183,1,Transfer,36,9,119.27,1,24.0,F,Medellín,Platinum,16,40.34,5809.92,Beauty,Lumen,South,26.68
145,2025-10-06,Store,6,14.39,0.11,0,Debit Card,38,8,195.4,0,18.0,M,Barranquilla,Gold,23,67.69,2519.0,Beauty,Nova,Imported,42.41
146,2025-03-15,Store,6,235.26,0.093,0,Debit Card,42,5,1682.09,0,21.0,M,Medellín,Gold,13,60.98,700.0,Sports,Pulse,Imported,257.21
147,2025-07-30,Store,18,103.21,0.121,0,Transfer,33,11,1098.56,0,18.0,M,Bogota,Gold,37,40.34,3468.49,Sports,Pulse,North,98.25
148,2025-11-24,Store,7,42.33,0.138,1,Digital Wallet,37,8,279.88,0,34.0,M,Cali,Platinum,21,17.92,5046.07,Fashion,Aurum,Local,45.86
149,2025-06-09,Store,18,14.39,0.0,0,Transfer,2,9,5334.36,0,52.0,F,Bogota,Platinum,37,47.18,700.0,Electronics,Lumen,Imported,281.38
150,2025-10-25,App,1,44.2,0.086,0,Transfer,16,7,40.28,1,27.0,M,Cali,Platinum,22,90.36,3298.83,Beauty,Aurum,North,42.31
151,2025-09-27,Store,4,281.77,0.195,0,Digital Wallet,43,7,972.09,0,52.0,M,Cali,Basic,31,69.17,2914.95,Electronics,Aurum,Imported,297.58
152,2025-12-09,Store,3,45.77,0.122,0,Debit Card,28,10,106.37,1,33.0,M,Cali,Platinum,44,38.8,4589.03,Fashion,Aurum,Local,45.86
153,2025-05-21,Store,6,31.38,0.033,0,Transfer,65,11,211.55,0,42.0,M,Cali,Platinum,11,31.22,4047.59,Beauty,Orion,West,27.31
154,2025-12-16,Store,4,44.36,0.154,0,Debit Card,81,11,154.36,0,40.0,M,Bogota,Basic,41,24.16,3021.27,Fashion,Aurum,Local,45.86
155,2025-12-29,Store,1,574.64,0.0,0,Cash,58,8,526.04,0,44.0,M,Medellín,Platinum,7,49.14,4846.43,Electronics,Orion,West,533.21
156,2025-06-19,Store,7,14.39,0.173,0,Transfer,35,7,1854.44,0,26.0,M,Bogota,Basic,30,89.97,5167.14,Electronics,Orion,West,301.95
157,2025-03-29,Store,4,60.73,0.102,1,Transfer,54,8,320.66,0,37.0,F,Bogota,Platinum,32,61.34,5412.55,Beauty,Zenit,Local,56.54
158,2025-02-06,Store,6,411.82,0.0,0,Cash,25,6,2620.15,0,59.0,M,Bogota,Platinum,27,12.58,5627.08,Electronics,Pulse,Imported,398.7
159,2025-05-11,App,2,253.23,0.27,1,Transfer,6,7,568.29,0,39.0,M,Barranquilla,Platinum,38,54.84,5002.14,Sports,Lumen,South,240.15
160,2025-10-02,Web,7,263.65,0.099,1,Digital Wallet,39,8,1700.16,0,37.0,M,Bogota,Platinum,17,42.01,2844.42,Sports,Pulse,Imported,257.21
161,2025-10-25,Store,6,30.55,0.006,0,Digital Wallet,40,11,196.38,0,40.0,M,Bogota,Basic,27,78.43,700.0,Beauty,Orion,North,29.89
162,2025-05-23,Store,2,745.02,0.053,0,Transfer,41,13,1550.35,0,44.0,F,Bogota,Platinum,17,87.16,3572.81,Electronics,Viva,Imported,682.78
163,2025-09-16,Store,2,44.02,0.029,0,Transfer,13,7,74.47,0,22.0,F,Bogota,Platinum,18,66.18,1580.19,Beauty,Orion,Imported,44.1
164,2025-07-16,App,5,537.39,0.058,0,Digital Wallet,53,9,2527.49,0,49.0,M,Bogota,Platinum,12,48.21,4058.43,Electronics,Orion,West,533.21
165,2025-02-26,App,5,260.09,0.099,0,Transfer,13,11,1244.96,0,24.0,F,Medellín,Gold,32,58.36,2633.47,Sports,Pulse,Imported,257.21
166,2025-06-30,Store,4,21.99,0.161,0,Credit Card,7,5,78.49,1,38.0,M,Bogota,Gold,43,67.0,5274.42,Sports,Pulse,South,25.42
